# productId	printed
GU836084	NF-269
GU836086	NF-293
GU847678	NF-231
G8904076	NC-001
G8904077	NC-002
G8904078	NC-003
G8904079	NC-004
G8904080	NC-005
G8904081	NC-006
G8904082	NC-007
G8904083	NC-008
G8904084	NC-009
G8904085	NC-010
G8904087	NC-012
G8904088	NC-013
G8904089	NC-014
G8904090	NC-015
G8904092	NC-017
G8904093	NC-018
G8904094	NC-019
G8904095	NC-020
G8904096	NC-021
G8904098	NC-023
G8904099	NC-024
G8904100	NC-025
G8904101	NC-026
G8904102	NC-027
G8904103	NC-028
G8904104	NC-029
G8904105	NC-030
G8904106	NC-031
G8904107	NC-032
G8904109	NM-005
G8904111	NM-011
G8904117	NM-050
G8904119	NM-064
G8904123	NM-123
G8904124	CAN-001
GG594293	NX-CAM-001
GG594294	NX-CAM-002
GG594295	NX-CAM-003
GG594296	NX-CAM-004
G6835705	NXP-SP-I
GG357395	NXP-SP-II
GL411724	NX-SP-I
GU608646	NFM-SP
GU613897	NX-SP-III
GL731000	NF-055
GU661687	NFP-010
GU819523	NX-194
GL344230	NFP-006
GL731007	NF-115
GU819522	NXP-006
GL748876	NFP-017
G8904015	NM-127
