602308643	忍伝-2	忍伝-207[ノーマル]：忍伝-207/奈良ヨシノ
GL124522	術伝-063	術伝-063[ノーマル]：水遁・五食鮫
GL124523	術伝-064	術伝-064[レア]：五封結界
GL124524	術伝-065	術伝-065[レア]：封印術・幻龍九封尽
GL124525	術伝-066	術伝-066[ノーマル]：床子弩
GL124526	術伝-067	術伝-067[ノーマル]：操襲刃
GL124527	術伝-068	術伝-068[レア]：医療忍術
GL124528	術伝-069	術伝-069[レア]：砂鉄時雨
GL124529	術伝-071	術伝-071[ノーマル]：人体操作
GL124530	術伝-072	術伝-072[レア]：仕込みカラクリ
GL124531	術伝-073	術伝-073[ノーマル]：チャクラの盾
GL124532	術伝-074	術伝-074[ノーマル]：毒煙
GL124533	術伝-075	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-075[ノーマル]：九尾封印
GL124534	術伝-078	術伝-078[ノーマル]：木ノ葉旋風
GL124535	術伝-079	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-079[ノーマル]：巫女の鈴
GL124536	術伝-080	術伝-080[ノーマル]：超コレでボーン
GL124537	術伝-081	術伝-081[ノーマル]：裏蓮華
GL124538	術伝-083	術伝-083[ノーマル]：影鏡身転の法
GL124539	術伝-084	術伝-084[ノーマル]：瞬身の術
GL124540	術伝-086	術伝-086[ノーマル]：火遁・鳳仙火の術
GL124541	術伝-087	術伝-087[レア]：自爆分身
GL124542	術伝-088	術伝-088[ノーマル]：異形変化
GL124543	術伝-089	術伝-089[ノーマル]：水遁・水上切
GL124544	術伝-090	術伝-090[ノーマル]：連携忍術
GL124545	術伝-091	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-091[ノーマル]：麻酔施術
GL124546	術伝-092	術伝-092[ノーマル]：水遁・水鮫弾の術
GL124547	術伝-093	術伝-093[ノーマル]：起爆クナイ
GL124548	術伝-094	術伝-094[ノーマル]：傀儡封印
GL124549	術伝-095	術伝-095[ノーマル]：風遁・回転手裏剣
GL124550	術伝-096	術伝-096[ノーマル]：火炎放射
GL124551	術伝-097	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-097[レア]：白秘技・十機近松の集
GL124552	術伝-098	術伝-098[ノーマル]：土遁・硬化術
GL124553	術伝-099	術伝-099[ノーマル]：部分倍加の術
GL124554	術伝-100	術伝-100[ノーマル]：影縫い
GL124555	術伝-101	術伝-101[レア]：転生忍術
GL124556	術伝-103	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-103[ノーマル]：青春フルパワー!
GL124557	術伝-104	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-104[ノーマル]：メンバー探し
GL124558	術伝-105	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-105[レア]：妖狐の衣
GL124559	術伝-106	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-106[ノーマル]：木ノ葉大旋光
GL124560	術伝-108	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-108[ノーマル]：絵本
GL124561	術伝-109	術伝-109[ノーマル]：作り笑い
GL124562	術伝-110	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-110[ノーマル]：悪口雑言
GL124563	術伝-111	術伝-111[ノーマル]：超獣偽画・鷹
GL124564	術伝-112	術伝-112[ノーマル]：超獣偽画・蛇
GL124565	術伝-113	術伝-113[ノーマル]：極秘指令書
GL124566	術伝-114	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-114[レア]：草薙の剣
GL124567	術伝-115	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-115[ノーマル]：潜影多蛇手
GL124568	術伝-116	術伝-116[ノーマル]：三重羅生門
GL124569	術伝-117	アニメ系トレカ/スーパーレア/NARUTO　疾風伝　CARDGAME　術伝-117[スーパーレア]：千鳥流し
GL124570	術伝-118	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-118[ノーマル]：バディシステム
GL124571	術伝-119	術伝-119[ノーマル]：鎖鎌
GL124572	術伝-121	術伝-121[ノーマル]：操具・天鎖災
GL124573	術伝-122	術伝-122[ノーマル]：黒秘技・危機一髪
GL124574	術伝-123	術伝-123[ノーマル]：解毒薬
GL124575	術伝-124	術伝-124[ノーマル]：火影式耳順術・廓庵入?垂手
GL124576	術伝-125	術伝-125[ノーマル]：八卦破山撃
GL124577	術伝-126	術伝-126[ノーマル]：木遁・木錠壁
GL124578	術伝-127	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-127[レア]：木遁・四柱家
GL124579	術伝-128	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-128[ノーマル]：模擬戦闘訓練
GL124580	術伝-129	術伝-129[ノーマル]：トンファー
GL124581	術伝-130	術伝-130[ノーマル]：ダイナミック・アクション
GL124582	術伝-131	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-131[レア]：螺旋丸
GL124583	術伝-133	術伝-133[ノーマル]：尾行
GL124584	術伝-134	術伝-134[ノーマル]：瞬時の拘束
GL124585	術伝-135	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　術伝-135[レア]：写輪眼
GL124586	術伝-136	術伝-136[ノーマル]：火遁・豪火球の術
GL124587	術伝-138	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-138[ノーマル]：構成員リスト
GL124588	術伝-139	術伝-139[ノーマル]：偽の死体
GL124589	術伝-140	術伝-140[レア]：草薙の剣
